Cod_setor,responsavelHomem,responsavelMulher,proporcaoHomem,proporcaoMulher
240810205060001,92,72,0.5609756097560976,0.43902439024390244
240810205060002,170,129,0.568561872909699,0.431438127090301
240810205060003,218,160,0.5767195767195767,0.42328042328042326
240810205060004,255,97,0.7244318181818182,0.2755681818181818
240810205060005,208,116,0.6419753086419753,0.35802469135802467
240810205060006,211,111,0.65527950310559,0.3447204968944099
240810205060007,136,86,0.6126126126126126,0.38738738738738737
240810205060008,143,80,0.6412556053811659,0.35874439461883406
240810205060009,149,106,0.5843137254901961,0.41568627450980394
240810205060010,235,130,0.6438356164383562,0.3561643835616438
240810205060011,122,166,0.4236111111111111,0.5763888888888888
240810205060012,220,157,0.583554376657825,0.41644562334217505
240810205060013,71,95,0.42771084337349397,0.572289156626506
240810205060014,189,152,0.5542521994134897,0.44574780058651026
240810205060015,121,66,0.6470588235294118,0.35294117647058826
240810205060016,147,186,0.44144144144144143,0.5585585585585585
240810205060017,184,156,0.5411764705882353,0.4588235294117647
240810205060018,184,136,0.575,0.425
240810205060019,203,132,0.6059701492537314,0.3940298507462687
240810205060020,190,147,0.5637982195845698,0.4362017804154303
240810205060021,205,121,0.6288343558282209,0.37116564417177916
240810205060022,181,139,0.565625,0.434375
240810205060023,198,135,0.5945945945945946,0.40540540540540543
240810205060024,205,134,0.6047197640117994,0.3952802359882006
240810205060025,247,132,0.6517150395778364,0.3482849604221636
240810205060026,182,116,0.610738255033557,0.38926174496644295
240810205060027,173,139,0.5544871794871795,0.44551282051282054
240810205060028,97,95,0.5052083333333334,0.4947916666666667
240810205060029,171,138,0.5533980582524272,0.44660194174757284
240810205060030,214,126,0.6294117647058823,0.37058823529411766
240810205060031,124,69,0.6424870466321243,0.35751295336787564
240810205060032,172,98,0.6370370370370371,0.362962962962963
240810205060033,217,129,0.6271676300578035,0.37283236994219654
240810205060034,162,103,0.6113207547169811,0.3886792452830189
240810205060035,97,81,0.5449438202247191,0.4550561797752809
240810205060036,139,80,0.634703196347032,0.365296803652968
240810205060037,181,197,0.47883597883597884,0.5211640211640212
240810205060038,203,94,0.6835016835016835,0.3164983164983165
240810205060039,175,107,0.6205673758865248,0.37943262411347517
240810205060040,181,96,0.6534296028880866,0.34657039711191334
240810205060041,220,112,0.6626506024096386,0.3373493975903614
240810205060042,164,149,0.5239616613418531,0.476038338658147
240810205060043,194,125,0.6081504702194357,0.39184952978056425
240810205060044,135,72,0.6521739130434783,0.34782608695652173
240810205060045,185,96,0.6583629893238434,0.3416370106761566
240810205060046,112,111,0.5022421524663677,0.4977578475336323
240810205060047,124,90,0.5794392523364486,0.4205607476635514
240810205060048,116,73,0.6137566137566137,0.3862433862433862
240810205060049,110,74,0.5978260869565217,0.40217391304347827
240810205060050,235,167,0.5845771144278606,0.4154228855721393
240810205060051,187,135,0.5807453416149069,0.4192546583850932
240810205060052,212,129,0.6217008797653959,0.3782991202346041
240810205060053,237,147,0.6171875,0.3828125
240810205060054,99,118,0.45622119815668205,0.543778801843318
240810205060055,108,168,0.391304347826087,0.6086956521739131
240810205060056,173,177,0.4942857142857143,0.5057142857142857
240810205060057,208,106,0.6624203821656051,0.3375796178343949
240810205060058,87,77,0.5304878048780488,0.4695121951219512
240810205060059,160,107,0.599250936329588,0.40074906367041196
240810205060060,198,92,0.6827586206896552,0.31724137931034485
240810205060061,264,170,0.6082949308755761,0.391705069124424
240810205060062,215,145,0.5972222222222222,0.4027777777777778
240810205060063,253,201,0.5572687224669604,0.44273127753303965
240810205060064,153,126,0.5483870967741935,0.45161290322580644
240810205060065,174,165,0.5132743362831859,0.48672566371681414
240810205060066,180,121,0.5980066445182725,0.4019933554817276
240810205060067,123,99,0.5540540540540541,0.44594594594594594
240810205060068,198,140,0.5857988165680473,0.41420118343195267
240810205060069,149,57,0.7233009708737864,0.2766990291262136
240810205060070,161,140,0.5348837209302325,0.46511627906976744
240810205060071,170,261,0.39443155452436196,0.605568445475638
240810205060072,256,182,0.5844748858447488,0.4155251141552511
240810205060073,204,91,0.6915254237288135,0.30847457627118646
240810205060074,160,107,0.599250936329588,0.40074906367041196
240810205060075,217,98,0.6888888888888889,0.3111111111111111
240810205060076,91,72,0.558282208588957,0.44171779141104295
240810205060077,149,62,0.7061611374407583,0.2938388625592417
240810205060078,171,89,0.6576923076923077,0.3423076923076923
240810205060079,81,120,0.40298507462686567,0.5970149253731343
240810205060080,227,124,0.6467236467236467,0.35327635327635326
240810205060081,250,125,0.6666666666666666,0.3333333333333333
240810205060082,137,98,0.5829787234042553,0.41702127659574467
240810205060083,181,66,0.7327935222672065,0.26720647773279355
240810205060084,169,70,0.7071129707112971,0.2928870292887029
240810205060085,165,70,0.7021276595744681,0.2978723404255319
240810205060086,220,135,0.6197183098591549,0.38028169014084506
240810205060087,124,125,0.4979919678714859,0.5020080321285141
240810205060088,222,108,0.6727272727272727,0.32727272727272727
240810205060089,197,96,0.6723549488054608,0.32764505119453924
240810205060090,127,89,0.5879629629629629,0.41203703703703703
240810205060091,156,121,0.5631768953068592,0.4368231046931408
240810205060092,232,119,0.6609686609686609,0.33903133903133903
240810205060093,175,74,0.7028112449799196,0.2971887550200803
240810205060094,209,147,0.5870786516853933,0.41292134831460675
240810205060095,227,87,0.7229299363057324,0.2770700636942675
240810205060096,264,140,0.6534653465346535,0.3465346534653465
240810205060097,220,152,0.5913978494623656,0.40860215053763443
240810205060098,188,148,0.5595238095238095,0.44047619047619047
240810205060099,289,86,0.7706666666666667,0.22933333333333333
240810205060100,157,92,0.6305220883534136,0.36947791164658633
